line_ref,vehicle_journey_code,departure_time,from_stop_ref,origin_stop_name,origin_latitude,origin_longitude,to_stop_ref,destination_stop_name,destination_latitude,destination_longitude,distance_km,distance_metres,distance_band,sequence_gap,runtime_minutes
SCEK:PK0000098:431:319,VJ619,12:13:00,1400HA0144,Warrior Square Station,50.8554662,0.5592296,1400HA0142,Christ Church,50.8540424,0.5597627,0.1626820704766919,162.68,Under 0.25 km,1,1.0
SCEK:PK0000098:262:1,VJ167,11:07:00,1400EB75035,Langney Roundabout South,50.7922966,0.3131121,1400EB0318,Priory Road South,50.7956689,0.3126826,0.3761963902461093,376.2,0.25-0.50 km,1,1.0
SCEK:PK0000098:325:329A,VJ687,18:30:00,1400HA0222,St Helen's Park Road,50.865268,0.577319,1400HA10007,Dordrecht Way,50.8653812,0.5721661,0.36185084927009364,361.85,0.25-0.50 km,1,2.0
SCEK:PK0000098:146:LOOP,VJ728,11:55:00,2400A047280A,East Kent College,51.3545875,1.4346998,2400A047290A,King Edward Avenue,51.3566779,1.4385629,0.35494873064300914,354.95,0.25-0.50 km,1,1.0
SCEK:PK0000098:64:502,VJ998,07:07:00,240099796,Jersey Close,51.173918,0.8791224,240099798,Guernsey Way,51.1721328,0.8745472,0.3756900468757805,375.69,0.25-0.50 km,1,1.0
SCEK:PK0000098:262:1A,VJ447,16:00:00,1400EB0030,Victoria Drive,50.7800291,0.2557057,1400EB0027,Cavendish School,50.7801107,0.2598519,0.2916543550976713,291.65,0.25-0.50 km,1,1.0
SCEK:PK0000098:28:71,VJ224,14:15:00,2400A027950A,Bowden Crescent,51.086324,1.1324563,2400A027940A,Broadview,51.0874746,1.1287921,0.28612809064974326,286.13,0.25-0.50 km,1,1.0
SCEK:PK0000098:332:400,VJ77,07:51:00,2400A048730A,Kemp Road,51.3631389,1.0610325,2400A048750A,The Wheatsheaf,51.3615168,1.0649327,0.3253609440292422,325.36,0.25-0.50 km,1,1.0
SCEK:PK0000098:277:98,VJ64,16:52:00,1400RR0150,All Saints Lane,50.856568,0.470152,1400RR0148,Buxton Drive,50.8555585,0.4732247,0.24314751104960894,243.15,Under 0.25 km,1,1.0
SCEK:PK0000098:354:313,VJ1434,08:10:00,1400RR0296,Dixter Road,50.9936624,0.6007322,1400RR0294,Primary School,50.9890026,0.6064141,0.6531648402232538,653.16,0.50-1.00 km,1,1.0
SCEK:PK0000098:345:81,VJ465,12:55:00,240096910,Grange Road,51.2207985,1.3928658,240096914,Fire Station,51.2225014,1.3958704,0.28220498737801075,282.2,0.25-0.50 km,1,2.0
SCEK:PK0000098:280:328,VJ396,13:36:00,1400HA0263,Pennine Rise,50.8758234,0.5985571,1400HA0256,Pine Avenue,50.876844,0.599197,0.1220442996071102,122.04,Under 0.25 km,1,1.0
SCEK:PK0000098:262:1A,VJ323,15:50:00,1400EB0400,Arlington Arms,50.783986,0.3044874,1400EB0398,Tesco,50.7852369,0.3058117,0.16737630824460495,167.38,Under 0.25 km,1,1.0
SCEK:PK0000098:277:98,VJ11,12:43:00,1400WE10005,Cinque Ports Way,50.8511773,0.5356933,1400HA80623,The Bo-Peep,50.8513988,0.53957,0.27326194273610915,273.26,0.25-0.50 km,1,1.0
SCEK:PK0000098:279:99,VJ807,06:05:00,1400HA0108,Warrior Square,50.8521557,0.5637656,1400HA0110,Eversfield Place,50.8528761,0.5682241,0.3230730354548008,323.07,0.25-0.50 km,1,2.0
SCEK:PK0000098:27:8A,VJ131,08:02:00,2400A044260A,Lyngate Court,51.3849253,1.4182126,2400A044380A,The Wheatsheaf,51.3812823,1.4135855,0.5169190159902013,516.92,0.50-1.00 km,24,3.0
SCEK:PK0000098:279:99,VJ928,12:30:00,1400EB0235,Princes Park,50.779793,0.310013,1400EB0234,Desmond Road,50.7781987,0.3069691,0.27790445176336953,277.9,0.25-0.50 km,1,1.0
SCEK:PK0000098:64:502,VJ1129,16:03:00,2400A024750A,Upper Vicarage Road,51.169118,0.8859337,2400A039230A,Meadowbrook Road,51.1675878,0.884522,0.1965689702648274,196.57,Under 0.25 km,1,1.0
SCEK:PK0000098:341:5,VJ1405,08:55:00,1400EB0415,Trinity Place,50.7674472,0.2884428,1400EB0448,Ceylon Place,50.7692214,0.2910681,0.27019907523129466,270.2,0.25-0.50 km,1,1.0
SCEK:PK0000098:4:X3,VJ2623,15:00:00,2400A038920A,The Red Lion,51.2906296,0.9884827,240097385,Woodside,51.2865241,1.021909,2.368908454437125,2368.91,2.00 km or more,1,3.0
SCEK:PK0000098:406:1066,VJ465,16:10:00,2400A013850A,Forest Road,51.1150342,0.2591242,1400WE0495,Abergavenny Arms,51.0971553,0.267008,2.0628362150983355,2062.84,2.00 km or more,1,3.0
SCEK:PK0000098:332:400,VJ53,17:57:00,2400A041010A,Herne Drive,51.3602914,1.1066441,2400A041020A,Poplar Drive Shops,51.362278,1.109393,0.29193155598729176,291.93,0.25-0.50 km,1,1.0
SCEK:PK0000098:4:X3,VJ2252,18:55:00,2400A011570A,Crossroads,51.3212704,0.8264073,2400A011580A,Buckland Cottages,51.3196636,0.8337148,0.5383334294730757,538.33,0.50-1.00 km,1,1.0
SCEK:PK0000098:427:601,VJ959,09:00:00,2400A049520A,Magistrates Court,51.279802,1.08594,2400A049490A,St Thomas' School,51.2817264,1.086478,0.21723096815014212,217.23,Under 0.25 km,1,1.0
SCEK:PK0000098:27:8,VJ2,07:25:00,2400A060320R,Railway Station,51.3770508,1.3017648,2400A041930A,The Square,51.3739588,1.3074203,0.5218244349274954,521.82,0.50-1.00 km,32,2.0
SCEK:PK0000098:1:21A,VJ668,07:40:00,2400A050170A,Jesuit Close,51.2947772,1.086493,2400A050160A,Nethersole Close,51.2963529,1.0867709,0.176272335476272,176.27,Under 0.25 km,1,1.0
SCEK:PK0000098:343:69,VJ1318,12:56:00,2400A042750A,Royal Sea Bathing,51.3849497,1.367713,2400A042600A,Westcliff Road,51.3833358,1.3631526,0.36381546708268514,363.82,0.25-0.50 km,1,1.0
SCEK:PK0000098:431:319,VJ658,18:53:00,1400HA0153,London Road,50.866888,0.5559894,1400HA0151,St Matthew's Road,50.8641566,0.5570906,0.31339640209314545,313.4,0.25-0.50 km,2,1.0
SCEK:PK0000098:274:322,VJ1169,14:00:00,1400HA0326,Winchelsea Road,50.8770447,0.6115334,1400HA0323,Ivy Gardens,50.8790678,0.6135658,0.2663454435563439,266.35,0.25-0.50 km,1,1.0
