metric,value
input_segment_records,375668
naptan_stop_records,5143
distinct_stop_references,5143
stops_with_coordinates,5143
enriched_segment_records,375668
origin_unmatched_records,0
destination_unmatched_records,0
both_stops_matched_records,375668
both_stops_match_percentage,100.0
positive_distance_records,375668
positive_distance_percentage,100.0
zero_distance_records,0
missing_distance_records,0
broadcast_join_detected,True
final_spark_partitions,4
parquet_rows_written,375668
mean_distance_km,0.4394
standard_deviation_distance_km,0.480489
minimum_distance_km,0.012023
median_distance_km,0.3268988337867198
percentile_95_distance_km,1.0670060188896258
percentile_99_distance_km,2.1873638927716454
maximum_distance_km,16.431012
