line_ref,record_count,high_duration_records,high_duration_percentage,average_runtime_minutes,maximum_runtime_minutes
SCEK:PK0000098:246:P2,2416,1208,50.0,4.0,6.0
SCEK:PK0000098:247:P3,4188,1196,28.5578,2.2846,4.0
SCEK:PK0000098:322:666,851,135,15.8637,2.1739,7.0
SCEK:PK0000098:212:511,1035,164,15.8454,2.2454,10.0
SCEK:PK0000098:362:100,1612,230,14.268,1.9901,10.0
SCEK:PK0000098:234:12,1022,132,12.9159,2.0489,11.0
SCEK:PK0000098:105:UNI1,1828,224,12.2538,1.9344,5.0
SCEK:PK0000098:2:22,2598,314,12.0862,1.7306,6.0
SCEK:PK0000098:442:2A,756,91,12.037,2.0423,10.0
SCEK:PK0000098:137:5,2038,228,11.1874,1.9607,14.0
SCEK:PK0000098:202:503,4137,456,11.0225,1.7684,12.0
SCEK:PK0000098:325:329,1171,128,10.9308,1.6874,6.0
SCEK:PK0000098:64:502,5008,534,10.6629,1.6677,10.0
SCEK:PK0000098:264:51,2940,305,10.3741,1.8248,15.0
SCEK:PK0000098:354:313,561,52,9.2692,1.7576,4.0
SCEK:PK0000098:343:69,2976,264,8.871,1.7796,14.0
SCEK:PK0000098:104:15,4697,404,8.6012,1.5318,7.0
SCEK:PK0000098:444:10,2788,239,8.5725,1.6331,9.0
SCEK:PK0000098:453:92,700,60,8.5714,1.5429,5.0
SCEK:PK0000098:446:52,3259,276,8.4689,1.8183,17.0
SCEK:PK0000098:454:66,510,42,8.2353,2.0902,12.0
SCEK:PK0000098:363:501,4992,397,7.9527,1.5543,9.0
SCEK:PK0000098:30:1X,949,75,7.9031,1.7408,7.0
SCEK:PK0000098:223:18,664,50,7.5301,1.9337,11.0
SCEK:PK0000098:325:329A,1242,93,7.4879,1.5982,6.0
SCEK:PK0000098:369:45,729,54,7.4074,1.6365,8.0
SCEK:PK0000098:392:BK1,581,40,6.8847,1.9122,25.0
SCEK:PK0000098:440:507,828,57,6.8841,1.465,8.0
SCEK:PK0000098:6:89,809,54,6.6749,1.6885,8.0
SCEK:PK0000098:370:48,538,35,6.5056,1.474,7.0
SCEK:PK0000098:329:1B,2931,189,6.4483,1.5623,7.0
SCEK:PK0000098:405:331,1320,84,6.3636,1.5182,6.0
SCEK:PK0000098:270:51,2311,142,6.1445,1.5469,12.0
SCEK:PK0000098:408:349,1387,85,6.1283,1.5162,5.0
SCEK:PK0000098:70:510,1503,91,6.0546,1.7046,18.0
SCEK:PK0000098:429:53,3079,186,6.0409,1.5443,14.0
SCEK:PK0000098:284:100,2820,169,5.9929,1.4986,6.0
SCEK:PK0000098:374:95,682,40,5.8651,1.6202,9.0
SCEK:PK0000098:344:43,4040,236,5.8416,1.4502,13.0
SCEK:PK0000098:345:81,5660,330,5.8304,1.5127,6.0
SCEK:PK0000098:274:322C,788,40,5.0761,1.4543,7.0
SCEK:PK0000098:430:324,2726,137,5.0257,1.4233,10.0
