line_ref,record_count,unique_segments,unique_vehicle_journeys,average_runtime_minutes,median_runtime_minutes,standard_deviation_minutes,minimum_runtime_minutes,maximum_runtime_minutes,high_duration_records,high_duration_percentage
SCEK:PK0000098:146:LOOP,37256,148,687,1.233,1.0,0.486,1.0,9.0,161,0.4321
SCEK:PK0000098:332:400,16664,107,380,1.3673,1.0,0.7007,1.0,7.0,240,1.4402
SCEK:PK0000098:279:99,12497,153,207,1.32,1.0,0.7655,1.0,7.0,293,2.3446
SCEK:PK0000098:332:401,12478,71,374,1.3446,1.0,0.6472,1.0,6.0,204,1.6349
SCEK:PK0000098:427:600,12414,77,402,1.5615,1.0,0.8144,1.0,6.0,496,3.9955
SCEK:PK0000098:4:X3,9440,135,214,1.5826,1.0,1.1456,1.0,13.0,350,3.7076
SCEK:PK0000098:268:LINK,8939,129,190,1.3871,1.0,0.8397,1.0,13.0,312,3.4903
SCEK:PK0000098:13:16,8796,89,264,1.4436,1.0,0.895,1.0,7.0,262,2.9786
SCEK:PK0000098:27:8,8385,120,177,1.3699,1.0,0.6153,1.0,6.0,121,1.4431
SCEK:PK0000098:434:104,8364,87,192,1.2846,1.0,0.5826,1.0,4.0,92,1.1
SCEK:PK0000098:334:602,8310,83,230,1.3783,1.0,0.6679,1.0,5.0,176,2.1179
SCEK:PK0000098:262:1A,7356,111,156,1.4311,1.0,0.9971,1.0,12.0,219,2.9772
SCEK:PK0000098:262:1,7283,104,191,1.3891,1.0,1.0416,1.0,16.0,204,2.801
SCEK:PK0000098:274:322,6834,97,176,1.4582,1.0,0.9587,1.0,7.0,306,4.4776
SCEK:PK0000098:277:98,6792,113,142,1.2697,1.0,0.6869,1.0,10.0,73,1.0748
SCEK:PK0000098:427:601,6622,65,232,1.5663,1.0,0.8012,1.0,5.0,330,4.9834
SCEK:PK0000098:345:81,5660,97,134,1.5127,1.0,0.9625,1.0,6.0,330,5.8304
SCEK:PK0000098:27:8A,5633,170,100,1.3739,1.0,0.6327,1.0,5.0,64,1.1362
SCEK:PK0000098:432:321,5140,75,149,1.3494,1.0,0.5228,1.0,3.0,0,0.0
SCEK:PK0000098:434:105,5044,57,222,1.3343,1.0,0.6187,1.0,4.0,91,1.8041
SCEK:PK0000098:64:502,5008,59,199,1.6677,1.0,1.2482,1.0,10.0,534,10.6629
SCEK:PK0000098:363:501,4992,76,172,1.5543,1.0,1.1267,1.0,9.0,397,7.9527
SCEK:PK0000098:15:103,4815,129,86,1.3192,1.0,0.5328,1.0,3.0,0,0.0
SCEK:PK0000098:431:319,4805,60,196,1.3076,1.0,0.5205,1.0,3.0,0,0.0
SCEK:PK0000098:104:15,4697,57,202,1.5318,1.0,1.1962,1.0,7.0,404,8.6012
SCEK:PK0000098:15:102,4547,108,84,1.3917,1.0,0.7611,1.0,6.0,84,1.8474
SCEK:PK0000098:43:34,4477,95,100,1.4188,1.0,0.7948,1.0,6.0,150,3.3505
SCEK:PK0000098:247:P3,4188,11,1196,2.2846,2.0,1.1611,1.0,4.0,1196,28.5578
SCEK:PK0000098:202:503,4137,40,269,1.7684,1.0,1.286,1.0,12.0,456,11.0225
SCEK:PK0000098:344:43,4040,70,147,1.4502,1.0,0.9576,1.0,13.0,236,5.8416
SCEK:PK0000098:46:61,3715,40,181,1.2915,1.0,0.55,1.0,3.0,0,0.0
SCEK:PK0000098:28:71,3436,26,284,1.2928,1.0,0.4551,1.0,2.0,0,0.0
SCEK:PK0000098:27:8X,3278,150,54,1.3484,1.0,0.5773,1.0,5.0,24,0.7322
SCEK:PK0000098:446:52,3259,103,89,1.8183,1.0,1.9048,1.0,17.0,276,8.4689
SCEK:PK0000098:437:D,3236,26,252,1.6143,1.0,0.6861,1.0,4.0,2,0.0618
SCEK:PK0000098:429:53,3079,126,58,1.5443,1.0,1.0154,1.0,14.0,186,6.0409
SCEK:PK0000098:14:17,3029,98,66,1.3466,1.0,0.5422,1.0,3.0,0,0.0
SCEK:PK0000098:343:69,2976,82,80,1.7796,1.0,2.08,1.0,14.0,264,8.871
SCEK:PK0000098:264:51,2940,118,84,1.8248,1.0,1.7607,1.0,15.0,305,10.3741
SCEK:PK0000098:329:1B,2931,83,90,1.5623,1.0,0.9855,1.0,7.0,189,6.4483
SCEK:PK0000098:76:25,2834,14,260,1.2449,1.0,0.5247,1.0,4.0,14,0.494
SCEK:PK0000098:284:100,2820,92,74,1.4986,1.0,0.8872,1.0,6.0,169,5.9929
SCEK:PK0000098:422:P1,2808,8,702,2.5,3.0,0.7057,1.0,3.0,0,0.0
SCEK:PK0000098:444:10,2788,151,47,1.6331,1.0,1.2916,1.0,9.0,239,8.5725
SCEK:PK0000098:281:323,2752,83,74,1.286,1.0,0.6544,1.0,6.0,33,1.1991
SCEK:PK0000098:430:324,2726,82,121,1.4233,1.0,0.9703,1.0,10.0,137,5.0257
SCEK:PK0000098:2:22,2598,16,216,1.7306,1.0,1.0486,1.0,6.0,314,12.0862
SCEK:PK0000098:246:P2,2416,4,1208,4.0,3.0,1.5815,2.0,6.0,1208,50.0
SCEK:PK0000098:1:21A,2358,30,84,1.3919,1.0,0.5202,1.0,4.0,4,0.1696
SCEK:PK0000098:270:51,2311,79,75,1.5469,1.0,0.9367,1.0,12.0,142,6.1445
SCEK:PK0000098:324:101,2224,97,64,1.4559,1.0,0.7365,1.0,4.0,97,4.3615
SCEK:PK0000098:403:8,2151,94,46,1.3454,1.0,1.033,1.0,10.0,88,4.0911
SCEK:PK0000098:28:71A,2125,25,170,1.32,1.0,0.4666,1.0,2.0,0,0.0
SCEK:PK0000098:3:23,2068,14,170,1.3965,1.0,0.6309,1.0,5.0,6,0.2901
SCEK:PK0000098:137:5,2038,94,64,1.9607,1.0,1.7532,1.0,14.0,228,11.1874
SCEK:PK0000098:326:UNI2,2020,46,112,1.4337,1.0,0.6795,1.0,4.0,36,1.7822
SCEK:PK0000098:269:6,2013,88,48,1.2861,1.0,0.5601,1.0,3.0,0,0.0
SCEK:PK0000098:407:1066,1986,108,51,1.4924,1.0,0.7566,1.0,8.0,37,1.863
SCEK:PK0000098:26:32,1845,56,100,1.1978,1.0,0.4777,1.0,5.0,5,0.271
SCEK:PK0000098:1:21,1836,29,68,1.2026,1.0,0.418,1.0,4.0,2,0.1089
SCEK:PK0000098:105:UNI1,1828,29,164,1.9344,1.0,1.2256,1.0,5.0,224,12.2538
SCEK:PK0000098:280:328,1826,48,89,1.3039,1.0,0.6606,1.0,5.0,31,1.6977
SCEK:PK0000098:399:64,1732,41,94,1.4018,1.0,0.9969,1.0,8.0,68,3.9261
SCEK:PK0000098:362:100,1612,46,79,1.9901,1.0,1.883,1.0,10.0,230,14.268
SCEK:PK0000098:70:510,1503,110,36,1.7046,1.0,1.1402,1.0,18.0,91,6.0546
SCEK:PK0000098:263:3,1483,35,91,1.1807,1.0,0.3849,1.0,2.0,0,0.0
SCEK:PK0000098:406:1066,1435,72,50,1.646,1.0,0.966,1.0,9.0,46,3.2056
SCEK:PK0000098:341:5B,1401,68,56,1.1506,1.0,0.7374,1.0,7.0,20,1.4276
SCEK:PK0000098:408:349,1387,78,38,1.5162,1.0,0.9007,1.0,5.0,85,6.1283
SCEK:PK0000098:405:331,1320,34,84,1.5182,1.0,1.1504,1.0,6.0,84,6.3636
SCEK:PK0000098:325:329A,1242,33,86,1.5982,1.0,1.2747,1.0,6.0,93,7.4879
SCEK:PK0000098:435:65,1172,16,146,1.5,1.0,0.6137,1.0,3.0,0,0.0
SCEK:PK0000098:325:329,1171,85,33,1.6874,1.0,1.3261,1.0,6.0,128,10.9308
SCEK:PK0000098:39:63,1114,21,74,1.2962,1.0,0.5089,1.0,5.0,1,0.0898
SCEK:PK0000098:445:7,1047,34,83,1.0726,1.0,0.3691,1.0,8.0,6,0.5731
SCEK:PK0000098:212:511,1035,89,40,2.2454,2.0,1.8122,1.0,10.0,164,15.8454
SCEK:PK0000098:234:12,1022,47,48,2.0489,1.0,2.309,1.0,11.0,132,12.9159
SCEK:PK0000098:363:501E,967,42,34,1.3309,1.0,0.8917,1.0,8.0,47,4.8604
SCEK:PK0000098:30:1X,949,62,32,1.7408,1.0,1.2162,1.0,7.0,75,7.9031
SCEK:PK0000098:341:5,874,46,38,1.1945,1.0,0.4451,1.0,3.0,0,0.0
SCEK:PK0000098:322:666,851,107,35,2.1739,2.0,1.6104,1.0,7.0,135,15.8637
SCEK:PK0000098:440:507,828,44,43,1.465,1.0,1.0455,1.0,8.0,57,6.8841
SCEK:PK0000098:413:36,817,110,24,1.6793,1.0,1.9871,1.0,17.0,39,4.7736
SCEK:PK0000098:6:89,809,39,54,1.6885,1.0,1.5284,1.0,8.0,54,6.6749
SCEK:PK0000098:274:322C,788,81,21,1.4543,1.0,0.9427,1.0,7.0,40,5.0761
SCEK:PK0000098:279:99E,762,121,14,1.3491,1.0,0.7984,1.0,5.0,34,4.4619
SCEK:PK0000098:442:2A,756,98,30,2.0423,2.0,1.4902,1.0,10.0,91,12.037
SCEK:PK0000098:369:45,729,58,32,1.6365,1.0,1.0949,1.0,8.0,54,7.4074
SCEK:PK0000098:453:92,700,35,40,1.5429,1.0,1.1051,1.0,5.0,60,8.5714
SCEK:PK0000098:374:95,682,78,20,1.6202,1.0,1.0201,1.0,9.0,40,5.8651
SCEK:PK0000098:223:18,664,72,20,1.9337,1.0,1.7546,1.0,11.0,50,7.5301
SCEK:PK0000098:181:91,623,63,20,1.3371,1.0,0.5398,1.0,4.0,1,0.1605
SCEK:PK0000098:392:BK1,581,78,16,1.9122,1.0,3.1869,1.0,25.0,40,6.8847
SCEK:PK0000098:354:313,561,41,76,1.7576,1.0,1.0027,1.0,4.0,52,9.2692
SCEK:PK0000098:30:24,558,41,30,1.4695,1.0,0.7983,1.0,7.0,15,2.6882
SCEK:PK0000098:370:48,538,65,23,1.474,1.0,1.1003,1.0,7.0,35,6.5056
SCEK:PK0000098:402:4,522,29,18,1.1724,1.0,0.4605,1.0,3.0,0,0.0
SCEK:PK0000098:454:66,510,24,46,2.0902,1.0,2.7402,1.0,12.0,42,8.2353
SCEK:PK0000098:137:5A,470,39,24,1.4511,1.0,0.5774,1.0,3.0,0,0.0
SCEK:PK0000098:441:2,464,85,17,1.7931,1.0,1.1194,1.0,8.0,36,7.7586
SCEK:PK0000098:385:93,449,51,22,2.0535,1.0,1.4021,1.0,7.0,67,14.922
SCEK:PK0000098:263:3A,444,17,59,1.3243,1.0,0.4686,1.0,2.0,0,0.0
SCEK:PK0000098:428:94,432,50,17,1.8079,1.0,1.7254,1.0,8.0,46,10.6481
SCEK:PK0000098:91:9,432,36,24,1.6111,1.0,1.8472,1.0,9.0,24,5.5556
SCEK:PK0000098:188:73,428,38,26,1.4977,1.0,0.8697,1.0,7.0,24,5.6075
SCEK:PK0000098:64:502E,420,38,13,1.2786,1.0,0.6302,1.0,4.0,13,3.0952
SCEK:PK0000098:353:312,420,35,24,1.5143,1.0,0.8071,1.0,4.0,12,2.8571
SCEK:PK0000098:306:AIR,400,2,200,9.445,10.0,1.1468,5.0,10.0,400,100.0
SCEK:PK0000098:420:113,374,55,17,1.3182,1.0,0.8713,1.0,6.0,15,4.0107
