line_ref,vehicle_journey_code,departure_time,time_of_day,from_stop_ref,to_stop_ref,runtime_minutes,is_iqr_high_duration
SCEK:PK0000098:400:982,VJ2636,07:20:00,Morning,2400103054,240097587,29.0,1
SCEK:PK0000098:392:BK1,VJ352,02:00:00,Night,240097155,2400A046090A,25.0,1
SCEK:PK0000098:392:BK1,VJ340,02:00:00,Night,240097155,2400A046090A,25.0,1
SCEK:PK0000098:392:BK1,VJ339,16:15:00,Afternoon,240097155,2400A046090A,25.0,1
SCEK:PK0000098:392:BK1,VJ347,16:15:00,Afternoon,240097155,2400A046090A,25.0,1
SCEK:PK0000098:392:BK1,VJ348,02:00:00,Night,240097155,2400A046090A,25.0,1
SCEK:PK0000098:392:BK1,VJ351,16:15:00,Afternoon,240097155,2400A046090A,25.0,1
SCEK:PK0000098:392:BK1,VJ343,16:15:00,Afternoon,240097155,2400A046090A,25.0,1
SCEK:PK0000098:392:BK1,VJ344,02:00:00,Night,240097155,2400A046090A,25.0,1
SCEK:PK0000098:444:10A,VJ624,07:00:00,Morning,240099475,2400A043110A,20.0,1
SCEK:PK0000098:70:510,VJ377,19:00:00,Evening,2400A021570A,2400A021580A,18.0,1
SCEK:PK0000098:413:36,VJ2479,15:24:00,Afternoon,2400A046720A,2400A046730A,17.0,1
SCEK:PK0000098:446:52,VJ1014,08:00:00,Morning,1400EB75098,1400WE0109,17.0,1
SCEK:PK0000098:45:95,VJ2632,15:35:00,Afternoon,240097412,2400A045500A,16.0,1
SCEK:PK0000098:262:1,VJ151,09:01:00,Morning,1400EB10046,1400EB0459,16.0,1
SCEK:PK0000098:413:36,VJ2477,14:19:00,Afternoon,2400A046720A,2400A046730A,16.0,1
SCEK:PK0000098:413:36,VJ2471,11:18:00,Morning,2400A046720A,2400A046730A,15.0,1
SCEK:PK0000098:264:51,VJ1470,10:05:00,Morning,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:264:51,VJ1471,11:05:00,Morning,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:446:52,VJ1028,14:45:00,Afternoon,1400EB10096,1400EB10095,15.0,1
SCEK:PK0000098:413:36,VJ2468,09:16:00,Morning,2400A046720A,2400A046730A,15.0,1
SCEK:PK0000098:413:36,VJ2481,16:27:00,Afternoon,2400A046720A,2400A046730A,15.0,1
SCEK:PK0000098:413:36,VJ2483,17:29:00,Evening,2400A046720A,2400A046730A,15.0,1
SCEK:PK0000098:264:51,VJ1475,13:05:00,Afternoon,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:446:52,VJ1042,08:09:00,Morning,1400EB10046,1400EB0459,15.0,1
SCEK:PK0000098:446:52,VJ1026,13:45:00,Afternoon,1400EB10096,1400EB10095,15.0,1
SCEK:PK0000098:264:51,VJ1473,12:05:00,Afternoon,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:264:51,VJ1468,09:05:00,Morning,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:264:51,VJ1492,07:25:00,Morning,1400WE0170,1400WE0182,15.0,1
SCEK:PK0000098:264:51,VJ1482,16:15:00,Afternoon,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:264:51,VJ1477,14:05:00,Afternoon,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:446:52,VJ1053,13:45:00,Afternoon,1400EB10096,1400EB10095,15.0,1
SCEK:PK0000098:264:51,VJ1484,17:35:00,Evening,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:264:51,VJ1479,15:05:00,Afternoon,1400EB75098,1400WE0109,15.0,1
SCEK:PK0000098:343:69,VJ1339,13:30:00,Afternoon,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:343:69,VJ1353,10:30:00,Morning,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:343:69,VJ1331,09:30:00,Morning,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:343:69,VJ1381,14:30:00,Afternoon,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:343:69,VJ1319,13:30:00,Afternoon,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:343:69,VJ1387,17:30:00,Evening,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:137:5,VJ1919,15:20:00,Afternoon,2400A040960A,2400A040970A,14.0,1
SCEK:PK0000098:400:981,VJ2635,15:45:00,Afternoon,240096977,2400A045340A,14.0,1
SCEK:PK0000098:343:69,VJ1333,10:30:00,Morning,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:343:69,VJ1337,12:30:00,Afternoon,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:343:69,VJ1371,09:30:00,Morning,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:343:69,VJ1373,10:30:00,Morning,2400A041880A,2400A042660A,14.0,1
SCEK:PK0000098:137:5,VJ1920,16:10:00,Afternoon,2400A040960A,2400A040970A,14.0,1
