source_file,vehicle_journey_code,line_ref,segment_key,departure_time,from_stop_ref,origin_stop_name,to_stop_ref,destination_stop_name,distance_km,runtime_minutes,prediction,residual_minutes,absolute_error_minutes,is_model_anomaly,anomaly_direction
960-None--SCEK-THSE-2026-05-03-March_No_RW_with_NWD_&amp;_OTv3__SCEK_PK0000098_230_20260531-BODS_V1_1.xml,VJ334,SCEK:PK0000098:230:960,2400100328_2400A046790A,07:34:00,2400100328,St George's School,2400A046790A,St George's School,0.026874288824246174,14.0,1.1994815625648787,12.800518437435121,12.800518437435121,1,Longer than expected
52-None--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_446_20260726-BODS_V1_1.xml,VJ1014,SCEK:PK0000098:446:52,1400EB0022_1400EB0093,08:00:00,1400EB0022,Rutland Close,1400EB0093,District General Hospital,0.3907766731366656,13.0,2.0959387859186256,10.904061214081374,10.904061214081374,1,Longer than expected
525-525--SCEK-ASSE-2026-07-26-Ashford_-_26th_July_2026_-_Hols_Agr__SCEK_PK0000098_421_20260726-BODS_V1_1.xml,VJ1264,SCEK:PK0000098:421:525,240099837_2400A025170A,16:00:00,240099837,Church Road,2400A025170A,Tesco Crooksfoot,1.0232218315576944,12.0,2.613091221979184,9.386908778020816,9.386908778020816,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2335,SCEK:PK0000098:137:5,240096731_2400A050320A,10:02:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,1.7206553267515634,9.279344673248437,9.279344673248437,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1927,SCEK:PK0000098:137:5,240096731_2400A050320A,10:02:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,1.7206553267515634,9.279344673248437,9.279344673248437,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1931,SCEK:PK0000098:137:5,240096731_2400A050320A,12:02:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,1.779514247058044,9.220485752941956,9.220485752941956,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2339,SCEK:PK0000098:137:5,240096731_2400A050320A,12:02:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,1.779514247058044,9.220485752941956,9.220485752941956,1,Longer than expected
96-None--SCEK-DVSE-2026-04-19-Dover_Timeplan_-_19_April_2026_AVL__SCEK_PK0000098_409_20260531-BODS_V1_1.xml,VJ2624,SCEK:PK0000098:409:96,2400A030740A_240096953,15:35:00,2400A030740A,Chamberlain Road,240096953,Ladywell,1.0196080592880497,13.0,4.133381318316898,8.866618681683102,8.866618681683102,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2343,SCEK:PK0000098:137:5,240096731_2400A050320A,14:02:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,2.233238664326361,8.766761335673639,8.766761335673639,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1935,SCEK:PK0000098:137:5,240096731_2400A050320A,14:02:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,2.233238664326361,8.766761335673639,8.766761335673639,1,Longer than expected
53-53--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_429_20260726-BODS_V1_1.xml,VJ498,SCEK:PK0000098:429:53,1400WE0570_1400WE0572,06:30:00,1400WE0570,Fiennes Road,1400WE0572,The Brewers Arms,0.339994235896286,10.0,1.2685173042765312,8.731482695723468,8.731482695723468,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2332,SCEK:PK0000098:137:5,240096731_2400A050320A,08:42:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,2.4441599842106463,8.555840015789354,8.555840015789354,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2331,SCEK:PK0000098:137:5,240096731_2400A050320A,07:32:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,2.4441599842106463,8.555840015789354,8.555840015789354,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1924,SCEK:PK0000098:137:5,240096731_2400A050320A,08:42:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,2.4441599842106463,8.555840015789354,8.555840015789354,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1923,SCEK:PK0000098:137:5,240096731_2400A050320A,07:32:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,2.4441599842106463,8.555840015789354,8.555840015789354,1,Longer than expected
510-510--SCEK-ASSE-2026-07-26-Ashford_-_26th_July_2026_-_Hols_Agr__SCEK_PK0000098_70_20260726-BODS_V1_1.xml,VJ377,SCEK:PK0000098:70:510,240099351_2400100812,19:00:00,240099351,New Street,2400100812,County Square,0.40439220987516983,10.0,1.5464055993867052,8.453594400613294,8.453594400613294,1,Longer than expected
324-324--SCEK-SVSE-2026-04-12-Hastings_-_12th_April_2026_-_Copy_o__SCEK_PK0000098_430_20260726-BODS_V1_1.xml,VJ1711,SCEK:PK0000098:430:324,1400HA0072_1400HA10050,15:43:00,1400HA0072,Playing Fields,1400HA10050,Tesco,0.4104249124081101,10.0,1.6078469907948933,8.392153009205106,8.392153009205106,1,Longer than expected
324-324--SCEK-SVSE-2026-04-12-Hastings_-_12th_April_2026_-_Copy_o__SCEK_PK0000098_430_20260726-BODS_V1_1.xml,VJ1695,SCEK:PK0000098:430:324,1400HA0072_1400HA10050,07:26:00,1400HA0072,Playing Fields,1400HA10050,Tesco,0.4104249124081101,10.0,1.6078469907948933,8.392153009205106,8.392153009205106,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1939,SCEK:PK0000098:137:5,240096731_2400A050320A,16:02:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,2.6572676862362528,8.342732313763747,8.342732313763747,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2347,SCEK:PK0000098:137:5,240096731_2400A050320A,16:02:00,240096731,Britton Court Farm,2400A050320A,The Tyler's Kiln,0.8832502451739509,11.0,2.6572676862362528,8.342732313763747,8.342732313763747,1,Longer than expected
51T-51T--SCEK-EBSE-2026-07-26-EB_260726_Final__SCEK_PK0000098_270_20260726-BODS_V1_1.xml,VJ1087,SCEK:PK0000098:270:51,1400WE75217_1400WE0490,07:18:00,1400WE75217,Brickyard Lane,1400WE0490,Sleeches Cross,3.049827074420927,12.0,3.7372103740293294,8.26278962597067,8.26278962597067,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1927,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,10:02:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,1.511361338607566,7.488638661392434,7.488638661392434,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2335,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,10:02:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,1.511361338607566,7.488638661392434,7.488638661392434,1,Longer than expected
5-None--SCEK-HYSE-2026-07-26-26_July_26_AVL__SCEK_PK0000098_137_20260726-BODS_V1_1.xml,VJ2339,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,12:02:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,1.5702202589140464,7.429779741085953,7.429779741085953,1,Longer than expected
5-None--SCEK-HYSE-2026-08-02-02_August_26v1_AVL__SCEK_PK0000098_137_20260802-BODS_V1_1.xml,VJ1931,SCEK:PK0000098:137:5,2400A040760A_2400A040780A,12:02:00,2400A040760A,Ham Shades Lane,2400A040780A,Foxgrove Road,0.32987854924544846,9.0,1.5702202589140464,7.429779741085953,7.429779741085953,1,Longer than expected
324-324--SCEK-SVSE-2026-04-12-Hastings_-_12th_April_2026_-_Copy_o__SCEK_PK0000098_430_20260726-BODS_V1_1.xml,VJ1697,SCEK:PK0000098:430:324,1400HA0072_1400HA10050,08:34:00,1400HA0072,Playing Fields,1400HA10050,Tesco,0.4104249124081101,9.0,1.6078469907948933,7.392153009205106,7.392153009205106,1,Longer than expected
88-None--SCEK-DVSE-2026-04-19-Dover_Timeplan_-_19_April_2026_AVL__SCEK_PK0000098_426_20260531-BODS_V1_1.xml,VJ2627,SCEK:PK0000098:426:88A,2400A045580A_2400A072650A,07:21:00,2400A045580A,Post Office,2400A072650A,Sibert's Close,2.12455366482707,11.0,3.6744985515843682,7.325501448415632,7.325501448415632,1,Longer than expected
902-None--SCEK-HYSE-2026-06-07-7_June_26_(MetaData)_AVL2__SCEK_PK0000098_77_20260621-BODS_V1_1.xml,VJ2368,SCEK:PK0000098:77:906,240096713_2400A050330A,15:33:00,240096713,Queens Avenue,2400A050330A,Garden Close,1.7275135413702314,10.0,2.687426161464197,7.312573838535803,7.312573838535803,1,Longer than expected
1066-1066--SCEK-SVSE-2026-04-12-Hastings_-_12th_April_2026_-_Copy__SCEK_PK0000098_406_20260726-BODS_V1_1.xml,VJ452,SCEK:PK0000098:406:1066,1400RR10014_1400RR0331,06:30:00,1400RR10014,Horsegrove Avenue,1400RR0331,The Bell,0.6976923593719537,9.0,1.9288923541373981,7.071107645862602,7.071107645862602,1,Longer than expected
